CODESC;TIPOESC;NOMES;SUBPREF;DISTRITO;CODINEP;CD_CIE;NOME_ANT;REDE;NOMES_COMPLETO;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;DESC_REDE
308952;CR.P.CONV;VIVER E APRENDER I;CAMPO LIMPO;CAMPO LIMPO;35004840,0;;;CON;CR.P.CONV VIVER E APRENDER I;CAMPO LIMPO;17;CAMPO LIMPO;Parceira
308953;CR.P.CONV;ELODI MARIA DAMACENA;CAMPO LIMPO;CAMPO LIMPO;35005184,0;;;CON;CR.P.CONV ELODI MARIA DAMACENA;CAMPO LIMPO;17;CAMPO LIMPO;Parceira
308954;CR.P.CONV;CORA CORALINA;JACANA/TREMEMBE;TREMEMBE;35004838,0;;MUNDO DE SOFIA;CON;CR.P.CONV CORA CORALINA;TREMEMBE;6;JACANA-TREMEMBE;Parceira
308955;CR.P.CONV;SAO FRANCISCO DE ASSIS - VALO VELHO;CAMPO LIMPO;CAPAO REDONDO;35005310,0;;SAO FRANCISCO DE ASSIS;CON;CR.P.CONV SAO FRANCISCO DE ASSIS - VALO VELHO;CAPAO REDONDO;17;CAMPO LIMPO;Parceira
308956;CR.P.CONV;CONSTRUINDO HORIZONTES;CAMPO LIMPO;CAPAO REDONDO;35005035,0;;;CON;CR.P.CONV CONSTRUINDO HORIZONTES;CAPAO REDONDO;17;CAMPO LIMPO;Parceira
308957;CR.P.CONV;NAKINE;FREGUESIA/BRASILANDIA;BRASILANDIA;35005294,0;;;CON;CR.P.CONV NAKINE;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Parceira
308958;CR.P.CONV;CASTELO BRANCO;FREGUESIA/BRASILANDIA;BRASILANDIA;35005300,0;;;CON;CR.P.CONV CASTELO BRANCO;BRASILANDIA;3;FREGUESIA-BRASILANDIA;Parceira
308959;CR.P.CONV;PEDRO E MARIA III;CAMPO LIMPO;CAPAO REDONDO;35005259,0;;CASA DA ARVORE III;CON;CR.P.CONV PEDRO E MARIA III;CAPAO REDONDO;17;CAMPO LIMPO;Parceira
308960;CR.P.CONV;MARGARIDA BRITO FARIAS SILVA;CAMPO LIMPO;CAPAO REDONDO;35004866,0;;;CON;CR.P.CONV MARGARIDA BRITO FARIAS SILVA;CAPAO REDONDO;17;CAMPO LIMPO;Parceira
308961;CR.P.CONV;PITAGORAS;ITAQUERA;ITAQUERA;35005151,0;;;CON;CR.P.CONV PITAGORAS;ITAQUERA;27;ITAQUERA;Parceira
