CODEOL;TIPO;UNIDADE;DIRETORIA;DISTRITO;NIVEL;QTDE;Nível padronizado;nm_distrito_municipal;cd_subprefeitura;nm_subprefeitura;nivel_subprefeitura
308183;CR.P.CONV;LIRIO DA PAZ;IPIRANGA;CURSINO;CRECHE;32;Educação Infantil;CURSINO;13;IPIRANGA;Educação Infantil|IPIRANGA
308185;CR.P.CONV;JOAO FERNANDES X;ITAQUERA;VILA FORMOSA;CRECHE;46;Educação Infantil;VILA FORMOSA;26;ARICANDUVA-FORMOSA-CARRAO;Educação Infantil|ARICANDUVA-FORMOSA-CARRAO
308186;CR.P.CONV;ESTRELAS BRILHANTES;SAO MIGUEL;ITAIM PAULISTA;CRECHE;39;Educação Infantil;ITAIM PAULISTA;24;ITAIM PAULISTA;Educação Infantil|ITAIM PAULISTA
308187;CR.P.CONV;BERNARDO GORA, PE;FREGUESIA/BRASILANDIA;CACHOEIRINHA;CRECHE;61;Educação Infantil;CACHOEIRINHA;04;CASA VERDE-CACHOEIRINHA;Educação Infantil|CASA VERDE-CACHOEIRINHA
308188;CR.P.CONV;DOCE INFANCIA;PIRITUBA;ANHANGUERA;CRECHE;97;Educação Infantil;ANHANGUERA;01;PERUS;Educação Infantil|PERUS
308190;CR.P.CONV;SAN FRANCESCO DE ASSISI;IPIRANGA;SACOMA;CRECHE;34;Educação Infantil;SACOMA;13;IPIRANGA;Educação Infantil|IPIRANGA
308191;CR.P.CONV;APRENDENDO COM ALEGRIA;PIRITUBA;PERUS;CRECHE;48;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308192;CR.P.CONV;MARIA DO CARMO;PIRITUBA;ANHANGUERA;CRECHE;35;Educação Infantil;ANHANGUERA;01;PERUS;Educação Infantil|PERUS
308193;CR.P.CONV;SONHO INFANTIL;PIRITUBA;PERUS;CRECHE;135;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308194;CR.P.CONV;CASA DOS INOCENTES II;PENHA;ERMELINO MATARAZZO;CRECHE;22;Educação Infantil;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Educação Infantil|ERMELINO MATARAZZO
308195;CR.P.CONV;ESTRELA DO MAR;PIRITUBA;JARAGUA;CRECHE;21;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
308196;CR.P.CONV;AMARELINHA;PIRITUBA;PERUS;CRECHE;49;Educação Infantil;PERUS;01;PERUS;Educação Infantil|PERUS
308198;CR.P.CONV;NOVA ISRAEL;SAO MATEUS;SAPOPEMBA;CRECHE;87;Educação Infantil;SAPOPEMBA;32;SAPOPEMBA;Educação Infantil|SAPOPEMBA
308199;CR.P.CONV;AMOR DE INFANCIA;PIRITUBA;JARAGUA;CRECHE;27;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
308200;CR.P.CONV;ERVA DO SERENO;SAO MIGUEL;JARDIM HELENA;CRECHE;208;Educação Infantil;JARDIM HELENA;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
308201;CR.P.CONV;ALGODAO DOCE;PIRITUBA;JARAGUA;CRECHE;39;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
308202;CR.P.CONV;LAURA VICUNA;PENHA;PENHA;CRECHE;51;Educação Infantil;PENHA;21;PENHA;Educação Infantil|PENHA
308204;CR.P.CONV;CONSTRUINDO O FUTURO;PIRITUBA;JARAGUA;CRECHE;34;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
308205;CR.P.CONV;TURMA DA TOUCA VI;CAMPO LIMPO;CAMPO LIMPO;CRECHE;71;Educação Infantil;CAMPO LIMPO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
308206;CR.P.CONV;JARDIM JARAGUA;PIRITUBA;ANHANGUERA;CRECHE;83;Educação Infantil;ANHANGUERA;01;PERUS;Educação Infantil|PERUS
308207;CR.P.CONV;TODAS AS CORES;FREGUESIA/BRASILANDIA;LIMAO;CRECHE;44;Educação Infantil;LIMAO;04;CASA VERDE-CACHOEIRINHA;Educação Infantil|CASA VERDE-CACHOEIRINHA
308212;CR.P.CONV;BEM ME QUER JARDIM DA SAUDE;IPIRANGA;CURSINO;CRECHE;18;Educação Infantil;CURSINO;13;IPIRANGA;Educação Infantil|IPIRANGA
308213;CR.P.CONV;NATALIA REZINO I;CAMPO LIMPO;CAPAO REDONDO;CRECHE;36;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
308216;CR.P.CONV;4 IRMAOS;PIRITUBA;JAGUARA;CRECHE;48;Educação Infantil;JAGUARA;08;LAPA;Educação Infantil|LAPA
308217;CR.P.CONV;CORACAO VALENTE;PIRITUBA;ANHANGUERA;CRECHE;79;Educação Infantil;ANHANGUERA;01;PERUS;Educação Infantil|PERUS
308218;CR.P.CONV;NEWTON PRADO;PIRITUBA;JARAGUA;CRECHE;106;Educação Infantil;JARAGUA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
308220;CR.P.CONV;ESPACO FELIZ II;SAO MIGUEL;JARDIM HELENA;CRECHE;90;Educação Infantil;JARDIM HELENA;23;SAO MIGUEL;Educação Infantil|SAO MIGUEL
308221;CR.P.CONV;MANOEL DE BARROS;PIRITUBA;VILA LEOPOLDINA;CRECHE;21;Educação Infantil;VILA LEOPOLDINA;08;LAPA;Educação Infantil|LAPA
308224;CR.P.CONV;MIRANDINHA;PENHA;PENHA;CRECHE;38;Educação Infantil;PENHA;21;PENHA;Educação Infantil|PENHA
308229;CR.P.CONV;CAMBALHOTA;PIRITUBA;PIRITUBA;CRECHE;2;Educação Infantil;PIRITUBA;02;PIRITUBA-JARAGUA;Educação Infantil|PIRITUBA-JARAGUA
308231;CR.P.CONV;TRES PASTORINHOS;BUTANTA;RIO PEQUENO;CRECHE;25;Educação Infantil;RIO PEQUENO;10;BUTANTA;Educação Infantil|BUTANTA
308232;CR.P.CONV;REINO DO CARINHO;CAMPO LIMPO;JARDIM ANGELA;CRECHE;84;Educação Infantil;JARDIM ANGELA;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
308236;CR.P.CONV;JOSE REGINALDO DA FONSECA II;CAMPO LIMPO;CAMPO LIMPO;CRECHE;26;Educação Infantil;CAMPO LIMPO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
308237;CR.P.CONV;MUNDO FELIZ;PIRITUBA;LAPA;CRECHE;13;Educação Infantil;LAPA;08;LAPA;Educação Infantil|LAPA
308241;CR.P.CONV;CAMINHAR III;CAMPO LIMPO;JARDIM SAO LUIS;CRECHE;21;Educação Infantil;JARDIM SAO LUIS;18;M BOI MIRIM;Educação Infantil|M BOI MIRIM
308248;CR.P.CONV;ROKINHO;SAO MATEUS;SAPOPEMBA;CRECHE;28;Educação Infantil;SAPOPEMBA;32;SAPOPEMBA;Educação Infantil|SAPOPEMBA
308250;CR.P.CONV;PAULA MARIA;IPIRANGA;CAMBUCI;CRECHE;69;Educação Infantil;CAMBUCI;09;SE;Educação Infantil|SE
308256;CR.P.CONV;FONTE DOS SONHOS;SAO MATEUS;SAPOPEMBA;CRECHE;52;Educação Infantil;SAPOPEMBA;32;SAPOPEMBA;Educação Infantil|SAPOPEMBA
308258;CR.P.CONV;VOVO MARIAZINHA ROCHA;CAPELA DO SOCORRO;MARSILAC;CRECHE;182;Educação Infantil;MARSILAC;20;PARELHEIROS;Educação Infantil|PARELHEIROS
308259;CR.P.CONV;INFANCIA FELIZ II;ITAQUERA;PARQUE DO CARMO;CRECHE;69;Educação Infantil;PARQUE DO CARMO;27;ITAQUERA;Educação Infantil|ITAQUERA
308262;CR.P.CONV;SAN MINIATO;PENHA;ERMELINO MATARAZZO;CRECHE;43;Educação Infantil;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Educação Infantil|ERMELINO MATARAZZO
308263;CR.P.CONV;DOCE MEL;PENHA;ERMELINO MATARAZZO;CRECHE;36;Educação Infantil;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Educação Infantil|ERMELINO MATARAZZO
308265;CR.P.CONV;RAINHA ESTHER;PENHA;ERMELINO MATARAZZO;CRECHE;50;Educação Infantil;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Educação Infantil|ERMELINO MATARAZZO
308268;CR.P.CONV;PENTAGRAMA I;CAMPO LIMPO;CAPAO REDONDO;CRECHE;55;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
308270;CR.P.CONV;SHAMMAH;PENHA;ERMELINO MATARAZZO;CRECHE;99;Educação Infantil;ERMELINO MATARAZZO;22;ERMELINO MATARAZZO;Educação Infantil|ERMELINO MATARAZZO
308273;CR.P.CONV;SANTA ZITA;ITAQUERA;ITAQUERA;CRECHE;44;Educação Infantil;ITAQUERA;27;ITAQUERA;Educação Infantil|ITAQUERA
308276;CR.P.CONV;NOSSA SENHORA RAINHA DA PAZ;CAMPO LIMPO;CAPAO REDONDO;CRECHE;27;Educação Infantil;CAPAO REDONDO;17;CAMPO LIMPO;Educação Infantil|CAMPO LIMPO
308279;CR.P.CONV;AS PRINCESAS;CAPELA DO SOCORRO;PARELHEIROS;CRECHE;91;Educação Infantil;PARELHEIROS;20;PARELHEIROS;Educação Infantil|PARELHEIROS
308280;CR.P.CONV;TUTULANDIA;PENHA;CANGAIBA;CRECHE;62;Educação Infantil;CANGAIBA;21;PENHA;Educação Infantil|PENHA
